DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AL011,2018,3400,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AL012,2018,4400,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AL013,2018,2800,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AL014,2018,3200,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AL015,2018,3200,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AL021,2018,3100,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AL022,2018,6100,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AL031,2018,3600,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AL032,2018,4700,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AL033,2018,4500,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AL034,2018,3300,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AL035,2018,3800,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT111,2018,26600,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT112,2018,33300,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT113,2018,27700,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT121,2018,34400,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT122,2018,32100,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT123,2018,43900,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT124,2018,30900,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT125,2018,23700,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT126,2018,28800,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT127,2018,51900,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT130,2018,51300,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT211,2018,42900,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT212,2018,28500,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT213,2018,33400,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT221,2018,50200,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT222,2018,38600,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT223,2018,38800,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT224,2018,31700,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT225,2018,29600,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT226,2018,32000,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT311,2018,38700,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT312,2018,55000,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT313,2018,28900,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT314,2018,44600,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT315,2018,40600,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT321,2018,38200,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT322,2018,45200,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT323,2018,55500,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT331,2018,49000,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT332,2018,45700,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT333,2018,34700,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT334,2018,49500,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT335,2018,47600,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT341,2018,49500,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,AT342,2018,49000,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,BE100,2018,69600,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,BE211,2018,49100,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,BE212,2018,44800,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,BE213,2018,45200,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,BE223,2018,23700,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,BE224,2018,40300,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,BE225,2018,28000,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,BE231,2018,26200,
ESTAT:NAMA_10R_3GDP(1.0),20/02/24 11:00:00,A,EUR_HAB,BE232,2018,28200,
